code,page,access
BM-ALL,rsvp-main.html,stay
BM-MH,rsvp-main.html,mehndi
BM-HD,rsvp-main.html,haldi
BM-SG,rsvp-main.html,sangeet
BM-WD,rsvp-main.html,wedding
